Aelia,Vesta,4.3,-14.2,291.4,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Aelia Oculata; Roman vestal virgin (c. 83).,
Agonium Rupes,Vesta,108,-53.3,317.4,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman festival celebrated several times a year; on this day the Rex sacrorum offered a ram in the Regia.,
Antonia,Vesta,17.4,-58.9,351.5,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Famous Roman woman- daughter of M. Antonius and Octavia- wife of Drusus- mother of Germanicus- Livilla- and Emperor Claudius (36 B.C. - A.D. 37).,
Aquilia,Vesta,36.8,-49.7,191.7,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Julia Aquilia Severa; Roman vestal virgin (c. 218).,
Aricia Tholus,Vesta,37,12.1,312.5,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",City at the foot of Albanus Mons- once a powerful city in early Latium (present-day Ariccia).,
Arruntia,Vesta,11.2,39.4,222.3,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",Roman vestal virgin (c. 70 B.C.).,
Bellicia,Vesta,34,37,197.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Roman vestal virgin (c. 3rd century).,
Calpurnia,Vesta,50,16.7,350.1,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman vestal virgin (c. 3rd century).,
Canuleia,Vesta,11.2,-33.7,85.2,Planetocentric  +East  0 - 360,Approved,"Feb 28, 2012",One of the first Roman vestal virgins.,
Caparronia,Vesta,54,36,317.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Roman vestal virgin (d. 266 B.C.).,
Claudia,Vesta,0.7,-1.6,146.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Roman vestal virgin (c. 143 B.C.)- defines 356E degrees longitude on Vesta.,
Cornelia,Vesta,15,-9.3,16.2,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman vestal virgin (c. 23).,
Divalia Fossa,Vesta,440,-10.5,188.7,Planetocentric  +East  0 - 360,Approved,"Dec 27, 2011",Roman festival held on December 21 in honor of the goddess Angerona.,
Domitia,Vesta,25,37,338.7,Planetocentric  +East  0 - 360,Approved,"Sep 30, 2011",Roman vestal virgin (c. 10-19).,
